Objeto,Area
1,2036
2,783
3,31545
4,20518
5,6171
6,400125
7,7988
8,452533
9,74837
10,1754
11,117973
12,25249
13,12969
14,411058
15,232219
16,286914
17,129000
18,31
19,125
20,6140
21,39721
22,4574
23,94
