tamanho_medio,imagem
117.34736463251728,Imagem_1
72.28455424021735,Imagem_1
89.3701944952772,Imagem_1
129.15875702065307,Imagem_1
260.1642062200741,Imagem_1
200.56046970218097,Imagem_1
174.27797058082564,Imagem_1
13.762063154896342,Imagem_1
104.49241941823526,Imagem_1
38.802136044930954,Imagem_1
95.9354577261094,Imagem_1
244.7607616410492,Imagem_1
111.82203387060106,Imagem_1
77.02582663353685,Imagem_1
265.08085993660563,Imagem_1
32.3561619426422,Imagem_1
159.11346614134825,Imagem_1
58.905823729827446,Imagem_1
42.246461767022744,Imagem_1
83.96195000899165,Imagem_1
146.35038647552287,Imagem_1
11.821084554078958,Imagem_1
50.6232445983631,Imagem_1
151.67048877291973,Imagem_1
93.45983943261083,Imagem_1
292.1892044431602,Imagem_1
272.95757935873723,Imagem_1
152.68600480758158,Imagem_1
99.45591844209824,Imagem_1
157.47561177185685,Imagem_1
133.07580741004426,Imagem_1
208.7455713524094,Imagem_1
51.30714140097798,Imagem_1
125.87498244119261,Imagem_1
28.59612032437544,Imagem_1
109.88814240976268,Imagem_1
45.09989104991743,Imagem_1
51.21088900095614,Imagem_1
67.65336542579922,Imagem_1
89.3701944952772,Imagem_1
90.25799087671825,Imagem_1
88.47348987773454,Imagem_1
136.58865523577774,Imagem_1
89.14731026986009,Imagem_1
64.40663348403766,Imagem_1
257.3316870737937,Imagem_1
160.76631434621262,Imagem_1
82.16274135023632,Imagem_1
79.76052523190428,Imagem_1
205.5927279510284,Imagem_1
93.08615214786327,Imagem_1
78.30861994270316,Imagem_1
77.99092008103287,Imagem_1
126.90002148118081,Imagem_1
132.21069960444459,Imagem_1
177.5091423936622,Imagem_1
206.82608390739128,Imagem_1
263.98767630617607,Imagem_1
293.0241233557725,Imagem_1
218.97970479942504,Imagem_1
85.25985497747007,Imagem_1
81.6750897443872,Imagem_1
136.62477207882125,Imagem_1
89.64935201246315,Imagem_1
131.53000537553788,Imagem_1
25.0667851015403,Imagem_1
243.78082855361308,Imagem_1
163.4417396759961,Imagem_1
100.40355618921399,Imagem_1
32.3561619426422,Imagem_1
27.163253048448134,Imagem_1
88.30423139263668,Imagem_1
147.43602723720912,Imagem_1
286.7293393137888,Imagem_1
153.01191802757182,Imagem_1
189.3324751395644,Imagem_1
166.8227602848269,Imagem_1
193.1910688533712,Imagem_1
17.000746355818674,Imagem_1
154.7618408584601,Imagem_1
152.45755540158243,Imagem_1
116.19429341618066,Imagem_1
224.11041992992642,Imagem_1
167.836681591721,Imagem_1
238.84284844313015,Imagem_1
176.55167969902666,Imagem_1
213.58581331239242,Imagem_1
118.9503793636476,Imagem_1
164.202432714007,Imagem_1
12.231338704589191,Imagem_1
139.47811768838415,Imagem_1
98.09275992370594,Imagem_1
259.1270612473701,Imagem_1
112.62190743707686,Imagem_1
79.32232674471287,Imagem_1
59.998054158884926,Imagem_1
220.092518703693,Imagem_1
273.0123829768214,Imagem_1
101.29363687442715,Imagem_1
190.88043671897756,Imagem_1
84.200451869165,Imagem_1
51.8870409383933,Imagem_1
72.76514719823753,Imagem_1
224.7989306483739,Imagem_1
271.5838947670672,Imagem_1
43.86914145350007,Imagem_1
22.326515217646847,Imagem_1
56.221145219615025,Imagem_1
4.478115991081385,Imagem_1
170.48890655075726,Imagem_1
177.76180416849192,Imagem_1
15.471555655790098,Imagem_1
64.86953595756418,Imagem_1
30.124765318753724,Imagem_1
162.58549904014473,Imagem_1
122.46163471742125,Imagem_1
28.243310265912164,Imagem_1
93.6197773767417,Imagem_1
81.79776162941917,Imagem_1
4.478115991081385,Imagem_1
23.207333483685147,Imagem_1
90.03730438728594,Imagem_1
208.55411234931742,Imagem_1
18.677998695187732,Imagem_1
4.478115991081385,Imagem_1
26.4207036318311,Imagem_1
38.02319690724042,Imagem_1
135.5629114800024,Imagem_1
123.35383046036206,Imagem_1
72.55925521585719,Imagem_1
